CCTV9中文-HD,rtp://239.37.0.1:5540
CCTV7-HD,rtp://239.37.0.2:5540
CCTV2-HD,rtp://239.37.0.3:5540
天津,rtp://239.37.0.4:5540
CCTV14-HD,rtp://239.37.0.5:5540
CCTV12-HD,rtp://239.37.0.6:5540
CCTV10-HD,rtp://239.37.0.7:5540
CCTV1-HD-I,rtp://239.37.0.8:5540
北京卫视-I,rtp://239.37.0.9:5540
吉视都市-HD,rtp://239.37.1.2:5540
吉视影视-HD,rtp://239.37.1.3:5540
吉视生活-HD,rtp://239.37.1.4:5540
吉视乡村-HD,rtp://239.37.1.5:5540
吉视公共-HD,rtp://239.37.1.6:5540
吉视7频道-HD,rtp://239.37.1.7:5540
东北戏曲-HD,rtp://239.37.1.9:5540
湖南-HD-I,rtp://239.37.0.10:5540
广东-I,rtp://239.37.0.12:5540
黑龙江-I,rtp://239.37.0.13:5540
深圳-HD-I,rtp://239.37.0.14:5540
山东-HD-I,rtp://239.37.0.15:5540
湖北卫视-HD,rtp://239.37.0.16:5540
CCTV1-I,rtp://239.37.0.20:5540
CCTV2-I,rtp://239.37.0.21:5540
CCTV4-I,rtp://239.37.0.22:5540
CCTV17-I,rtp://239.37.0.23:5540
CCTV9国际-I,rtp://239.37.0.24:5540
CCTV10-I,rtp://239.37.0.25:5540
CCTV11-I,rtp://239.37.0.26:5540
CCTV12-I,rtp://239.37.0.27:5540
CCTV13-I,rtp://239.37.0.28:5540
CCTV14-I,rtp://239.37.0.29:5540
CCTV15-I,rtp://239.37.0.30:5540
CCTV-NEWS-I,rtp://239.37.0.31:5540
黑龙江-I,rtp://239.37.0.32:5540
广东-I,rtp://239.37.0.33:5540
甘肃卫视-I,rtp://239.37.0.34:5540
旅游卫视-I,rtp://239.37.0.35:5540
内蒙古-I,rtp://239.37.0.36:5540
浙江卫视-I,rtp://239.37.0.37:5540
湖南卫视-I,rtp://239.37.0.38:5540
新疆-I,rtp://239.37.0.39:5540
湖北卫视-I,rtp://239.37.0.40:5540
四川卫视-I,rtp://239.37.0.41:5540
东南卫视-I,rtp://239.37.0.42:5540
江西卫视-I,rtp://239.37.0.43:5540
辽宁卫视-I,rtp://239.37.0.44:5540
陕西卫视-I,rtp://239.37.0.45:5540
安徽卫视-I,rtp://239.37.0.46:5540
深圳卫视-I,rtp://239.37.0.47:5540
上海东方卫视-I,rtp://239.37.0.48:5540
山东卫视-I,rtp://239.37.0.49:5540
聚鲨环球精选-HD,rtp://239.37.0.50:5540
广西卫视-I,rtp://239.37.0.51:5540
河北卫视-I,rtp://239.37.0.52:5540
山西卫视-I,rtp://239.37.0.53:5540
西藏卫视-I,rtp://239.37.0.54:5540
江苏卫视-I,rtp://239.37.0.55:5540
河南卫视-I,rtp://239.37.0.56:5540
青海卫视-I,rtp://239.37.0.57:5540
贵州卫视-I,rtp://239.37.0.58:5540
兵团卫视-I,rtp://239.37.0.59:5540
卡酷卡通-I,rtp://239.37.0.60:5540
金鹰卡通-I,rtp://239.37.0.61:5540
重庆-I,rtp://239.37.0.62:5540
云南卫视-I,rtp://239.37.0.63:5540
家有购物-HD,rtp://239.37.0.64:5540
炫动卡通-I,rtp://239.37.0.65:5540
宁夏卫视-I,rtp://239.37.0.66:5540
嘉佳卡通-I,rtp://239.37.0.67:5540
CCTV女性时尚-HD,rtp://239.37.0.69:5540
环球奇观-I,rtp://239.37.0.70:5540
CCTV第一剧场-HD,rtp://239.37.0.78:5540
CCTV世界地理-HD,rtp://239.37.0.79:5540
CCTV风云足球-HD,rtp://239.37.0.80:5540
CCTV风云音乐-HD,rtp://239.37.0.81:5540
CCTV怀旧剧场-HD,rtp://239.37.0.82:5540
CCTV央视文化精品-HD,rtp://239.37.0.83:5540
CCTV兵器科技-HD,rtp://239.37.0.84:5540
靓妆-I,rtp://239.37.0.87:5540
汽摩-I,rtp://239.37.0.90:5540
国学频道-I,rtp://239.37.0.93:5540
中学生-I,rtp://239.37.0.95:5540
长春综合-1,rtp://239.37.0.96:5540
长春娱乐-2,rtp://239.37.0.97:5540
长春市民-3,rtp://239.37.0.98:5540
长春经济-4,rtp://239.37.0.99:5540
CCTV4欧洲-HD,rtp://239.37.1.11:5540
CCTV4美洲-HD,rtp://239.37.1.12:5540
CCTV-NEWS-HD,rtp://239.37.1.13:5540
CCTV9国际-HD,rtp://239.37.1.14:5540
CGTN西语-HD,rtp://239.37.1.15:5540
CGTN法语-HD,rtp://239.37.1.16:5540
CGTN阿语-HD,rtp://239.37.1.17:5540
CGTN俄语-HD,rtp://239.37.1.18:5540
金鹰卡通-HD,rtp://239.37.1.19:5540
CCTV7-HD,rtp://239.37.1.20:5540
CCTV16-HD,rtp://239.37.1.21:5540
CCTV16-4K,rtp://239.37.1.22:5540
广西卫视-HD,rtp://239.37.1.23:5540
双阳电信,rtp://239.37.1.24:5540
CCTV4-HD,rtp://239.37.1.25:5540
CCTV11-HD,rtp://239.37.1.26:5540
CCTV13-HD,rtp://239.37.1.27:5540
CCTV15-HD,rtp://239.37.1.28:5540
敦化1套,rtp://239.37.1.29:5540
甘肃卫视-HD,rtp://239.37.1.30:5540
CETV2SD,rtp://239.37.1.31:5540
CETV4SD,rtp://239.37.1.32:5540
长春汽车-5,rtp://239.37.0.100:5540
吉林卫视-I,rtp://239.37.0.101:5540
都市-I,rtp://239.37.0.102:5540
影视-I,rtp://239.37.0.103:5540
生活-I,rtp://239.37.0.104:5540
乡村-I,rtp://239.37.0.105:5540
公共新闻-I,rtp://239.37.0.106:5540
7频道-1,rtp://239.37.0.107:5540
东北戏曲-I,rtp://239.37.0.109:5540
家有购物-I,rtp://239.37.0.110:5540
吉林卫视-HD,rtp://239.37.0.111:5540
江苏-HD-I,rtp://239.37.0.112:5540
百姓健康-I,rtp://239.37.0.113:5540
CCTV风云剧场-HD,rtp://239.37.0.114:5540
CCTV电视指南-HD,rtp://239.37.0.115:5540
延边卫视-I,rtp://239.37.0.116:5540
CCTV5+HD-I,rtp://239.37.0.121:5540
CCTV9中文-I,rtp://239.37.0.122:5540
上海东方卫视-HD,rtp://239.37.0.123:5540
福建-I,rtp://239.37.0.124:5540
长影频道-电信,rtp://239.37.0.125:5540
吉林教育,rtp://239.37.0.126:5540
吉林市新闻综合,rtp://239.37.0.127:5540
吉林市公共,rtp://239.37.0.128:5540
吉林市科教,rtp://239.37.0.129:5540
四平1,rtp://239.37.0.130:5540
四平2,rtp://239.37.0.131:5540
通化1,rtp://239.37.0.132:5540
通化2,rtp://239.37.0.133:5540
通化3,rtp://239.37.0.134:5540
白城新闻综合,rtp://239.37.0.135:5540
白城公共,rtp://239.37.0.136:5540
白山综合,rtp://239.37.0.137:5540
白山公共,rtp://239.37.0.138:5540
环球购物-I,rtp://239.37.0.139:5540
CCTV1-I,rtp://239.37.0.140:5540
风尚购物-I,rtp://239.37.0.143:5540
农安综合,rtp://239.37.0.144:5540
集安综合,rtp://239.37.0.145:5540
前郭TV1,rtp://239.37.0.146:5540
九画面-HD,rtp://239.37.0.149:5540
四川-HD-I,rtp://239.37.0.151:5540
上海纪实-HD,rtp://239.37.0.152:5540
浙江-HD-I,rtp://239.37.0.153:5540
河北-HD-I,rtp://239.37.0.154:5540
河南-HD-I,rtp://239.37.0.155:5540
江西-HD-I,rtp://239.37.0.156:5540
贵州-HD-I,rtp://239.37.0.157:5540
重庆-I,rtp://239.37.0.158:5540
安徽-HD-I,rtp://239.37.0.159:5540
辽宁-HD-I,rtp://239.37.0.160:5540
金鹰记实-HD-I,rtp://239.37.0.161:5540
BTV记实-I,rtp://239.37.0.162:5540
CCTV央视台球-HD,rtp://239.37.0.163:5540
磐石综合,rtp://239.37.0.164:5540
汪清一套,rtp://239.37.0.165:5540
图们一套,rtp://239.37.0.166:5540
延吉一套,rtp://239.37.0.167:5540
梨树新闻,rtp://239.37.0.168:5540
双辽一套,rtp://239.37.0.169:5540
公主岭综合,rtp://239.37.0.170:5540
伊通,rtp://239.37.0.171:5540
柳河一套,rtp://239.37.0.172:5540
梅河口1套,rtp://239.37.0.173:5540
辉南,rtp://239.37.0.174:5540
镇赉一套,rtp://239.37.0.175:5540
通榆一套,rtp://239.37.0.176:5540
大安,rtp://239.37.0.177:5540
CCTV1-I,rtp://239.37.0.178:5540
东丰,rtp://239.37.0.179:5540
扶余,rtp://239.37.0.180:5540
乾安,rtp://239.37.0.181:5540
优购物,rtp://239.37.0.182:5540
时尚购物,rtp://239.37.0.183:5540
央广购物,rtp://239.37.0.184:5540
好享购物,rtp://239.37.0.185:5540
CHC动作电影-HD,rtp://239.37.0.186:5540
CHC高清电影-HD,rtp://239.37.0.187:5540
CHC家庭影院-HD,rtp://239.37.0.188:5540
CCTV3-I,rtp://239.37.0.189:5540
CCTV5-I,rtp://239.37.0.190:5540
CCTV6,rtp://239.37.0.191:5540
CCTV8-I,rtp://239.37.0.192:5540
中国教育-HD-I,rtp://239.37.0.193:5540
CCTV1-HD-I,rtp://239.37.0.194:5540
CCTV1-HD-I,rtp://239.37.0.195:5540
百视通,rtp://239.37.0.196:5540
百视通,rtp://239.37.0.197:5540
百视通,rtp://239.37.0.198:5540
百视通,rtp://239.37.0.199:5540
三沙卫视-I,rtp://239.37.0.200:5540
三沙卫视-I,rtp://239.37.0.201:5540
百视通,rtp://239.37.0.204:5540
吉林篮球1-HD,rtp://239.37.0.212:5540
吉林篮球2-HD,rtp://239.37.0.213:5540
吉林篮球3-HD,rtp://239.37.0.214:5540
yxsh-HD,rtp://239.37.0.215:5540
吉林篮球4-HD,rtp://239.37.0.216:5540
舒兰,rtp://239.37.0.217:5540
洮南一套,rtp://239.37.0.218:5540
抚松综合,rtp://239.37.0.219:5540
临江,rtp://239.37.0.220:5540
CCTV1-HD-I,rtp://239.37.0.221:5540
CCTV1-HD-I,rtp://239.37.0.222:5540
CCTV1-HD-I,rtp://239.37.0.223:5540
CCTV1-HD-I,rtp://239.37.0.224:5540
桦甸综合,rtp://239.37.0.225:5540
中国交通吉林-HD,rtp://239.37.0.226:5540
XXTYHD,rtp://239.37.0.227:5540
SS10,rtp://239.37.0.228:5540
CCTV卫生健康-HD,rtp://239.37.0.229:5540
CCTV高尔夫·网球-HD,rtp://239.37.0.230:5540
CCTV3-HD,rtp://239.37.0.231:5540
CCTV5-HD,rtp://239.37.0.232:5540
CCTV6-HD,rtp://239.37.0.233:5540
CCTV8-HD,rtp://239.37.0.234:5540
家家购物-I,rtp://239.37.0.235:5540
乐游-HD,rtp://239.37.0.236:5540
法治天地-HD,rtp://239.37.0.238:5540
金色学堂-HD,rtp://239.37.0.239:5540
生活时尚-HD,rtp://239.37.0.240:5540
都市剧场-HD,rtp://239.37.0.241:5540
动漫秀场-HD,rtp://239.37.0.242:5540
游戏风云-HD,rtp://239.37.0.243:5540
快乐垂钓-HD,rtp://239.37.0.244:5540
湖南茶频道-HD,rtp://239.37.0.245:5540
松原一套-电信,rtp://239.37.0.246:5540
松原公共二套-电信,rtp://239.37.0.247:5540
延边TV1,rtp://239.37.0.248:5540
延边TV2,rtp://239.37.0.249:5540
辽源新闻综合,rtp://239.37.0.250:5540
