福建综合,rtp://239.61.4.1:1025
福建乡村振兴公共频道 HD,rtp://239.61.4.3:1025
福建新闻 HD,rtp://239.61.4.4:1025
电视剧HD,rtp://239.61.4.5:1025
旅游HD,rtp://239.61.4.6:1025
经济HD,rtp://239.61.4.7:1025
少儿HD,rtp://239.61.4.9:1025
直播室101,rtp://239.61.5.9:1025
厦门卫视SD,rtp://239.61.4.11:1025
CCTV-1,rtp://239.61.4.15:1025
CGTN HD,rtp://239.61.4.19:1025
CCTV-11 HD,rtp://239.61.4.21:1025
1.3M-CCTV-12,rtp://239.61.4.22:1025
CCTV-13 HD,rtp://239.61.4.23:1025
CCTV-15 HD,rtp://239.61.4.25:1025
CCTV-1 HD,rtp://239.61.4.27:1025
东方卫视(高清),rtp://239.61.4.28:1025
浙江卫视(高清),rtp://239.61.4.29:1025
江苏卫视(高清),rtp://239.61.4.30:1025
湖南卫视(高清),rtp://239.61.4.31:1025
北京卫视(高清),rtp://239.61.4.32:1025
广东卫视(高清),rtp://239.61.4.33:1025
黑龙江卫视(高清),rtp://239.61.4.34:1025
湖北卫视(高清),rtp://239.61.4.36:1025
山东卫视(高清),rtp://239.61.4.37:1025
陕西卫视,rtp://239.61.4.40:1025
海南卫视（高清）,rtp://239.61.4.44:1025
广西卫视-HD,rtp://239.61.4.50:1025
宁夏卫视,rtp://239.61.4.58:1025
河北卫视HD,rtp://239.61.4.59:1025
河南卫视HD,rtp://239.61.4.61:1025
青海卫视,rtp://239.61.4.62:1025
云南HD主264,rtp://239.61.4.63:1025
中国天气,rtp://239.61.4.66:1025
2.5M-炫动卡通,rtp://239.61.4.72:1025
嘉佳卡通,rtp://239.61.4.74:1025
法治天地2.5-2-5,rtp://239.61.4.77:1025
东方财经 HD,rtp://239.61.4.78:1025
金色频道 HD,rtp://239.61.4.80:1025
股评汇,rtp://239.61.4.94:1025
直播室102,rtp://239.61.5.10:1025
直播室103,rtp://239.61.5.11:1025
直播室104,rtp://239.61.5.12:1025
直播室105,rtp://239.61.5.13:1025
直播室106,rtp://239.61.5.14:1025
直播室107,rtp://239.61.5.15:1025
直播室108,rtp://239.61.5.19:1025
直播室109,rtp://239.61.5.20:1025
直播室110,rtp://239.61.5.21:1025
直播室111,rtp://239.61.5.22:1025
生活时尚HD,rtp://239.61.5.25:1025
游戏风云HD,rtp://239.61.5.29:1025
欢笑剧场HD,rtp://239.61.5.30:1025
全纪实HD,rtp://239.61.5.31:1025
动漫秀场HD,rtp://239.61.5.32:1025
都市剧场HD,rtp://239.61.5.33:1025
8M-HD-CCTV-1,rtp://239.61.5.42:1025
福建文体HD,rtp://239.61.5.44:1025
海峡卫视HD,rtp://239.61.5.45:1025
贵州卫视(高清),rtp://239.61.5.46:1025
HD 凤凰资讯,rtp://239.61.5.47:1025
HD 凤凰中文,rtp://239.61.5.48:1025
党建频道,rtp://239.61.5.50:1025
8M-HD-上视纪实,rtp://239.61.5.51:1025
8M-HD-CCTV-1,rtp://239.61.5.52:1025
CETV1HD,rtp://239.61.5.53:1025
CCTV4HD主,rtp://239.61.5.56:1025
党建频道2,rtp://239.61.5.57:1025
CCTV-5＋(高清),rtp://239.61.5.58:1025
CCTV-9(高清),rtp://239.61.5.59:1025
福建教育频道 HD,rtp://239.61.5.60:1025
CCTV-2(高清),rtp://239.61.5.61:1025
CCTV-7(高清),rtp://239.61.5.62:1025
CCTV-10(高清),rtp://239.61.5.63:1025
CCTV-12(高清),rtp://239.61.5.64:1025
CCTV-14(高清),rtp://239.61.5.65:1025
天津卫视(高清),rtp://239.61.5.67:1025
辽宁卫视(高清),rtp://239.61.5.68:1025
江西卫视(高清),rtp://239.61.5.69:1025
漳州,rtp://239.61.5.91:1025
南平新闻综合_一套,rtp://239.61.5.92:1025
三明,rtp://239.61.5.93:1025
莆田,rtp://239.61.5.94:1025
龙岩_-HD,rtp://239.61.5.95:1025
宁德_-HD,rtp://239.61.5.96:1025
福州,rtp://239.61.5.97:1025
泉州,rtp://239.61.5.98:1025
厦门,rtp://239.61.5.99:1025
东南卫视(高清),rtp://239.61.4.114:1025
CCTV-8(HD),rtp://239.61.4.116:1025
CCTV-3(HD),rtp://239.61.4.117:1025
CCTV-5(HD),rtp://239.61.4.118:1025
CCTV-6(HD),rtp://239.61.4.119:1025
CCTV-3(HD),rtp://239.61.4.120:1025
CCTV-5(HD),rtp://239.61.4.121:1025
CCTV-6(HD),rtp://239.61.4.122:1025
CCTV-8(HD),rtp://239.61.4.123:1025
2160_25P_AVC_2.0_SDR_BT.709,rtp://239.61.4.129:1025
网球,rtp://239.61.4.130:1025
CGTN法语 HD,rtp://239.61.4.131:1025
CGTN俄语 HD,rtp://239.61.4.132:1025
CGTN记录 HD,rtp://239.61.4.133:1025
深圳卫视 HD,rtp://239.61.4.134:1025
CCTV-8(HD),rtp://239.61.4.137:1025
厦门一套,rtp://239.61.4.139:1025
厦门二套,rtp://239.61.4.140:1025
慢直播5松溪,rtp://239.61.4.141:1025
CCTV-16-4K超高清,rtp://239.61.4.142:1025
欢笑剧场4K,rtp://239.61.4.145:1025
2160_50p_HEVC_2.0_HLG_BT.2020,rtp://239.61.4.158:1025
2160_50p_HEVC_5.1_HLG_BT.2020,rtp://239.61.4.159:1025
2160_50p_HEVC_2.0_SDR_BT.709,rtp://239.61.4.160:1025
8M-HD-第一财经,rtp://239.61.4.161:1025
中华特产,rtp://239.61.4.162:1025
车迷,rtp://239.61.4.163:1025
优优宝贝,rtp://239.61.4.164:1025
环球旅游,rtp://239.61.4.165:1025
生态环境,rtp://239.61.4.166:1025
茶HD,rtp://239.61.4.167:1025
先锋乒羽,rtp://239.61.4.168:1025
CHC动作电影HD,rtp://239.61.4.169:1025
文物宝库HD,rtp://239.61.4.171:1025
武术世界HD,rtp://239.61.4.172:1025
新动漫,rtp://239.61.4.173:1025
2.5M-CCTV-1,rtp://239.61.4.174:1025
CCTV-1,rtp://239.61.4.175:1025
CCTV-1 HD,rtp://239.61.4.176:1025
中华特产,rtp://239.61.4.177:1025
车迷,rtp://239.61.4.178:1025
优优宝贝,rtp://239.61.4.179:1025
环球旅游,rtp://239.61.4.180:1025
生态环境,rtp://239.61.4.181:1025
百姓健康,rtp://239.61.4.182:1025
四海钓鱼,rtp://239.61.4.183:1025
2.5M-CCTV-1,rtp://239.61.4.184:1025
梨园HD,rtp://239.61.4.184:1025
家庭理财,rtp://239.61.4.185:1025
财富天下,rtp://239.61.4.186:1025
证券服务（家政）,rtp://239.61.4.187:1025
IPTV3＋,rtp://239.61.5.100:1025
IPTV6＋,rtp://239.61.5.102:1025
IPTV8＋,rtp://239.61.5.103:1025
IPTV5＋(高清),rtp://239.61.5.105:1025
央广购物,rtp://239.61.5.106:1025
金鹰卡通,rtp://239.61.5.107:1025
卡酷动画,rtp://239.61.5.108:1025
吉林卫视（高清）,rtp://239.61.5.109:1025
山西卫视,rtp://239.61.5.110:1025
甘肃卫视 HD,rtp://239.61.5.111:1025
内蒙古卫视,rtp://239.61.5.112:1025
新疆卫视,rtp://239.61.5.113:1025
兵团卫视,rtp://239.61.5.114:1025
西藏卫视,rtp://239.61.5.115:1025
平潭1套,rtp://239.61.5.117:1025
安徽卫视HD,rtp://239.61.5.127:1025
福建新闻广播,rtp://239.61.5.154:1025
福建交通应急广播,rtp://239.61.5.155:1025
安徽卫视HD,rtp://239.61.5.157:1025
CCTV-17(高清),rtp://239.61.5.158:1025
重庆卫视(高清),rtp://239.61.5.159:1025
四川卫视(高清),rtp://239.61.5.160:1025
FUJIAN,rtp://239.61.5.162:1025
CCTV-1 HD,rtp://239.61.5.163:1025
爱上4K,rtp://239.61.5.164:1025
福建综合(高清),rtp://239.61.5.167:1025
CETV-2标清,rtp://239.61.5.169:1025
TVS2南方卫视,rtp://239.61.5.170:1025
金鹰纪实HD,rtp://239.61.5.171:1025
CCTV-1(高清),rtp://239.61.5.180:1025
快乐垂钓(高清),rtp://239.61.5.189:1025
海南卫视（高清）,rtp://239.61.5.190:1025
三沙卫视,rtp://239.61.5.191:1025
快乐购物,rtp://239.61.5.192:1025
2.5M-CCTV-1,rtp://239.61.5.193:1025
CETV4SD,rtp://239.61.5.196:1025
美人,rtp://239.61.5.203:1025
慢直播1,rtp://239.61.5.213:1025
慢直播3,rtp://239.61.5.214:1025
CCTV5(标清),rtp://239.61.5.217:1025
