CCTV-1 8M1080,rtp://239.16.20.1:10010
CCTV-2 8M1080,rtp://239.16.20.2:10020
CCTV-3 8M1080,rtp://239.16.20.3:10030
CCTV-4 8M1080,rtp://239.16.20.4:10040
CCTV-5+ 8M1080,rtp://239.16.20.5:10050
CCTV-6 8M1080,rtp://239.16.20.6:10060
CCTV-17 8M1080,rtp://239.16.20.7:10070
CCTV-8 8M1080,rtp://239.16.20.8:10080
CCTV-9 8M1080,rtp://239.16.20.9:10090
CCTV-10 8M1080,rtp://239.16.20.10:10100
CCTV-11 8M1080,rtp://239.16.20.11:10110
CCTV-12 8M1080,rtp://239.16.20.12:10120
CCTV-13 8M1080,rtp://239.16.20.13:10130
CCTV-14 720,rtp://239.16.20.14:10140
CCTV-15 8M1080,rtp://239.16.20.15:10150
大美河南 8M10080,rtp://239.16.20.17:10170
新乡县综合 576,rtp://239.16.20.18:10180
封丘1新闻综合 576,rtp://239.16.20.19:10190
邓州综合 576,rtp://239.16.20.20:10200
河南卫视 8M1080,rtp://239.16.20.21:10210
获嘉综合 8M1080,rtp://239.16.20.25:10250
平顶山教育台 8M1080,rtp://239.16.20.27:10270
大剧院 4M1080,rtp://239.16.20.29:10290
平煤综合 576,rtp://239.16.20.30:10300
平煤安全环保 576,rtp://239.16.20.31:10310
叶县电视台-1 8M1080,rtp://239.16.20.32:10320
CCTV-16 8M1080,rtp://239.16.20.34:10340
SiTV都市剧场 8M1080,rtp://239.16.20.38:10380
SiTV欢笑剧场 720,rtp://239.16.20.39:10390
SiTV动漫秀场 8M1080,rtp://239.16.20.40:10400
新密综合频道 8M1080,rtp://239.16.20.41:10410
登封综合 576,rtp://239.16.20.42:10420
巩义综合 8M1080,rtp://239.16.20.43:10430
荥阳综合频道,rtp://239.16.20.44:10440
新郑TV-1 8M1080,rtp://239.16.20.45:10450
46[1920*1080],rtp://239.16.20.46:10460
渑池新闻综合 8M1080,rtp://239.16.20.47:10470
淅川电视台-1 8M1080,rtp://239.16.20.48:10480
新蔡TV 8M1080,rtp://239.16.20.49:10490
镇平新闻综合 576,rtp://239.16.20.50:10500
CCTV-7 8M1080,rtp://239.16.20.51:10510
健康中原 8M1080,rtp://239.16.20.52:10520
CCTV-5 8M1080,rtp://239.16.20.53:10530
灵宝综合频道 576,rtp://239.16.20.59:10590
宝丰TV-1 8M1080,rtp://239.16.20.63:10630
